,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad,Click_labeled,Topic
85,57.76,41,47861.93,105.15,Triple-buffered scalable groupware,Lake Dustin,0,Puerto Rico,2016-06-12 15:25:44,1,Click,1
86,77.51,36,73600.28,200.55,Total 5thgeneration encoding,North Kristine,0,Central African Republic,2016-07-01 04:41:57,0,No Click,1
87,52.7,34,58543.94,118.6,Integrated human-resource encoding,Grahamberg,1,Venezuela,2016-05-08 12:12:04,1,Click,2
88,57.7,34,42696.67,109.07,Phased dynamic customer loyalty,New Tina,0,Australia,2016-03-14 23:13:11,1,Click,1
89,56.89,37,37334.78,109.29,Open-source coherent policy,Nelsonfurt,1,Wallis and Futuna,2016-05-25 00:19:57,1,Click,1
90,69.9,43,71392.53,138.35,Down-sized modular intranet,Christopherport,0,Jersey,2016-05-13 11:51:10,1,Click,1
91,55.79,24,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,0,Puerto Rico,2016-02-20 20:47:05,1,Click,1
92,70.03,26,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,1,Samoa,2016-05-22 20:49:37,0,No Click,1
93,50.08,40,64147.86,125.85,Ergonomic full-range time-frame,Whiteport,1,Greece,2016-04-10 02:02:36,1,Click,1
94,43.67,31,25686.34,166.29,Automated directional function,New Theresa,1,Antarctica (the territory South of 60 deg S),2016-02-28 06:41:44,1,Click,1
95,72.84,26,52968.22,238.63,Progressive empowering alliance,Wongland,0,Albania,2016-07-08 21:18:32,0,No Click,3
96,45.72,36,22473.08,154.02,Versatile homogeneous capacity,Williammouth,1,Hong Kong,2016-04-19 15:14:58,1,Click,1
97,39.94,41,64927.19,156.3,Function-based optimizing protocol,Williamsborough,0,Lithuania,2016-01-08 22:47:10,1,Click,1
98,35.61,46,51868.85,158.22,Up-sized secondary software,North Michael,0,Egypt,2016-03-28 08:46:26,1,Click,1
99,79.71,34,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,1,Bangladesh,2016-07-02 14:57:53,0,No Click,1
100,41.49,53,31947.65,169.18,Persevering reciprocal firmware,Hernandezville,0,Western Sahara,2016-07-03 09:22:30,1,Click,2
101,63.6,23,51864.77,235.28,Centralized logistical secured line,Youngburgh,1,Serbia,2016-06-01 09:27:34,0,No Click,3
102,89.91,40,59593.56,194.23,Innovative background conglomeration,Wallacechester,0,Maldives,2016-07-09 14:55:36,0,No Click,1
103,68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,2016-02-09 22:04:54,0,No Click,1
104,66.49,20,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,0,Guernsey,2016-06-10 11:31:33,0,No Click,1
105,80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,1,Tanzania,2016-02-14 03:50:52,0,No Click,1
106,72.23,25,46557.92,241.03,Focused 24hour implementation,Marcushaven,1,Bhutan,2016-07-05 17:17:49,0,No Click,1
107,42.39,42,66541.05,150.99,De-engineered mobile infrastructure,Erinton,0,Christmas Island,2016-04-28 05:50:25,1,Click,1
108,47.53,30,33258.09,135.18,Customer-focused upward-trending contingency,Hughesport,0,Guinea,2016-04-03 05:10:31,1,Click,1
109,74.02,32,72272.9,210.54,Operative system-worthy protocol,Johnstad,0,Micronesia,2016-03-09 14:57:11,0,No Click,1
110,66.63,60,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,0,Madagascar,2016-01-16 23:37:51,1,Click,1
111,63.24,53,65229.13,235.78,Future-proofed holistic superstructure,Michelleside,1,Lebanon,2016-07-03 04:33:41,1,Click,1
112,71.0,22,56067.38,211.87,Extended systemic policy,Andersonton,0,Eritrea,2016-03-14 06:46:14,0,No Click,1
113,46.13,46,37838.72,123.64,Horizontal hybrid challenge,New Rachel,1,Guyana,2016-01-09 05:44:56,1,Click,2
114,69.0,32,72683.35,221.21,Virtual composite model,Port Susan,1,Trinidad and Tobago,2016-02-11 04:37:34,0,No Click,3
115,76.99,31,56729.78,244.34,Switchable mobile framework,West Angelabury,1,Jersey,2016-06-22 07:33:21,0,No Click,1
116,72.6,55,66815.54,162.95,Focused intangible moderator,Port Christopherborough,0,United Arab Emirates,2016-07-13 16:12:24,1,Click,1
117,61.88,42,60223.52,112.19,Balanced actuating moderator,Phillipsbury,1,Martinique,2016-07-23 11:46:28,1,Click,1
118,84.45,50,29727.79,207.18,Customer-focused transitional strategy,Millerside,0,Somalia,2016-07-13 04:10:53,1,Click,1
119,88.97,45,49269.98,152.49,Advanced web-enabled standardization,Lake Jessica,0,Bhutan,2016-06-11 18:32:12,1,Click,1
120,86.19,31,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,1,Greece,2016-05-08 12:51:00,0,No Click,1
121,49.58,26,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,0,Benin,2016-04-07 16:02:02,0,No Click,1
122,77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,2016-02-04 13:30:32,0,No Click,1
123,37.75,36,35466.8,225.24,Polarized dynamic throughput,South Daniel,0,Uzbekistan,2016-02-26 19:48:23,1,Click,3
124,62.33,43,68787.09,127.11,Devolved zero administration intranet,Suzannetown,0,South Africa,2016-06-21 13:15:21,1,Click,1
125,79.57,31,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,0,Egypt,2016-05-17 04:27:31,0,No Click,2
126,80.31,44,56366.88,127.07,Cross-platform regional task-force,Brianfurt,0,Hungary,2016-04-18 15:54:33,1,Click,3
127,89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,0,Falkland Islands (Malvinas),2016-04-03 10:07:56,0,No Click,1
128,70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,0,Dominica,2016-04-04 21:30:46,0,No Click,3
129,67.36,37,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,0,Jersey,2016-07-06 16:00:33,0,No Click,1
130,46.98,50,21644.91,175.37,Down-sized well-modulated archive,East Michelleberg,0,Lithuania,2016-05-04 09:00:24,1,Click,1
131,41.67,36,53817.02,132.55,Realigned zero tolerance emulation,Port Eric,0,Saint Martin,2016-06-13 18:50:00,1,Click,1
132,51.24,36,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,0,Cuba,2016-01-03 16:01:40,1,Click,1
133,75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,2016-01-14 00:23:10,0,No Click,1
134,43.49,47,50335.46,127.83,User-centric intangible task-force,Guzmanland,0,Belize,2016-01-12 10:07:29,1,Click,1
135,49.89,39,17709.98,160.03,Enhanced system-worthy application,East Michele,1,Belize,2016-04-16 12:09:25,1,Click,1
136,38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,East John,0,Antarctica (the territory South of 60 deg S),2016-05-13 06:09:28,1,Click,2
137,38.52,38,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,1,Saint Vincent and the Grenadines,2016-03-27 23:59:06,1,Click,1
138,71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,1,Kuwait,2016-02-03 23:47:56,0,No Click,1
139,75.8,38,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,1,Thailand,2016-04-18 11:23:05,0,No Click,3
140,83.86,31,64122.36,190.25,Up-sized executive moderator,Lake Josetown,0,Gibraltar,2016-02-05 19:06:01,0,No Click,1
141,37.51,30,52097.32,163.0,Re-contextualized optimal service-desk,Debraburgh,1,Holy See (Vatican City State),2016-03-21 18:46:41,1,Click,3
142,55.6,44,65953.76,124.38,Fully-configurable neutral open system,New Debbiestad,1,Korea,2016-06-14 11:59:58,1,Click,3
143,83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,1,Saint Helena,2016-02-06 23:08:57,0,No Click,3
144,69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,0,Turks and Caicos Islands,2016-03-12 01:39:19,0,No Click,1
145,37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,1,Czech Republic,2016-01-26 03:56:18,1,Click,1
146,56.04,49,65120.86,128.95,Decentralized real-time circuit,West Ricardo,1,Netherlands,2016-02-07 08:02:31,1,Click,1
147,70.92,41,49995.63,108.16,Polarized modular function,Lake Jose,1,Belarus,2016-05-05 07:58:22,1,Click,1
148,49.78,46,71718.51,152.24,Enterprise-wide client-driven contingency,Heatherberg,0,Dominica,2016-06-29 02:43:29,1,Click,1
149,68.61,57,61770.34,150.29,Diverse modular interface,South George,0,South Africa,2016-04-10 19:48:01,1,Click,1
150,58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,1,New Zealand,2016-02-10 06:37:56,0,No Click,1
151,78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,0,Togo,2016-05-28 20:41:50,0,No Click,2
152,37.0,48,36782.38,158.22,Function-based context-sensitive secured line,Jonathantown,1,Kenya,2016-03-24 06:36:52,1,Click,3
153,65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,0,Palau,2016-02-12 22:51:08,0,No Click,2
154,79.52,27,64287.78,183.48,Automated coherent flexibility,East Timothyport,1,Timor-Leste,2016-06-10 10:11:00,0,No Click,1
155,87.98,38,56637.59,222.11,Focused scalable complexity,West Roytown,1,Cambodia,2016-03-31 10:44:46,0,No Click,1
156,44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,0,Belize,2016-02-14 06:51:43,1,Click,1
157,41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,1,Cuba,2016-01-07 19:16:05,1,Click,1
158,80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,1,Costa Rica,2016-02-04 02:13:52,0,No Click,1
159,75.55,36,73234.87,159.24,Managed grid-enabled standardization,Ramirezside,0,Liechtenstein,2016-05-09 02:58:58,1,Click,1
160,76.32,35,74166.24,195.31,Networked foreground definition,East Michaeltown,1,Korea,2016-06-23 00:16:02,0,No Click,3
161,82.68,33,62669.59,222.77,Re-engineered exuding frame,West Courtney,1,Ukraine,2016-06-20 09:35:02,0,No Click,1
162,72.01,31,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,0,Angola,2016-02-29 12:31:57,0,No Click,2
163,75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,0,Nauru,2016-01-17 15:10:31,0,No Click,2
164,41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,0,Equatorial Guinea,2016-01-29 03:54:19,1,Click,1
165,34.66,32,48246.6,194.83,Customer-focused multi-tasking Internet solution,Curtisport,0,Mongolia,2016-07-14 12:07:10,1,Click,1
166,66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,0,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,1,Click,1
167,86.06,31,53767.12,219.72,Extended local methodology,Timothytown,1,Timor-Leste,2016-04-28 18:34:56,0,No Click,3
168,59.59,42,43662.1,104.78,Re-engineered demand-driven capacity,Samanthaland,1,Brazil,2016-07-06 18:36:01,1,Click,1
169,86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,0,Chad,2016-05-27 06:19:27,0,No Click,1
170,43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,1,Portugal,2016-01-25 07:39:41,1,Click,1
171,71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,1,Malawi,2016-05-08 22:47:18,0,No Click,1
172,80.23,31,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,0,Qatar,2016-03-19 14:23:45,0,No Click,3
173,74.41,26,64395.85,163.05,Right-sized value-added initiative,Dianashire,0,Singapore,2016-07-23 04:37:05,0,No Click,1
174,63.36,48,70053.27,137.43,Centralized tertiary pricing structure,East Eric,0,Guinea,2016-06-23 01:22:43,1,Click,2
175,71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,0,Kazakhstan,2016-07-19 18:06:22,0,No Click,2
176,60.72,44,42995.8,105.69,Synergized context-sensitive database,Jacobstad,0,Kuwait,2016-02-28 18:52:44,1,Click,3
177,72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,0,Rwanda,2016-02-10 06:52:07,0,No Click,1
178,44.57,31,38349.78,133.17,Adaptive context-sensitive application,Joneston,1,China,2016-03-27 09:11:10,1,Click,3
179,85.86,34,63115.34,208.23,Networked high-level structure,New Jeffreychester,0,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,0,No Click,1
180,39.85,38,31343.39,145.96,Profit-focused dedicated utilization,East Stephen,0,Vietnam,2016-01-03 03:22:15,1,Click,1
181,84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,0,Guatemala,2016-01-04 21:48:38,1,Click,2
182,62.95,60,36752.24,157.04,Polarized tangible collaboration,Youngfort,0,Peru,2016-05-24 13:30:38,1,Click,3
183,67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,1,Mayotte,2016-02-01 19:42:40,0,No Click,1
184,85.56,29,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,0,Samoa,2016-06-05 13:16:24,0,No Click,1
185,46.88,54,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,0,Singapore,2016-02-04 08:53:37,1,Click,3
186,46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,1,Jamaica,2016-03-24 13:37:53,1,Click,3
187,77.95,31,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,1,Bahamas,2016-06-02 21:02:22,0,No Click,1
188,84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,Aliciatown,0,Canada,2016-02-21 07:42:48,1,Click,3
189,39.86,36,32593.59,145.85,Total 5thgeneration standardization,Josephstad,0,Algeria,2016-06-26 17:16:26,1,Click,1
190,50.08,30,41629.86,123.91,Sharable grid-enabled matrix,West Ericfurt,0,Fiji,2016-01-03 05:34:33,1,Click,1
191,60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,0,Kenya,2016-03-08 18:00:43,1,Click,1
192,60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,Port Julie,1,Argentina,2016-06-19 03:19:44,1,Click,1
193,43.67,53,46004.31,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,1,Bouvet Island (Bouvetoya),2016-07-21 21:16:35,1,Click,1
194,77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,1,Philippines,2016-02-12 20:36:40,0,No Click,1
195,71.86,32,51633.34,116.53,Face-to-face even-keeled website,Kentmouth,0,Senegal,2016-05-17 06:14:20,1,Click,3
196,44.78,45,63363.04,137.24,Extended context-sensitive monitoring,West Casey,1,Suriname,2016-07-09 11:04:54,1,Click,3
197,78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,1,Liberia,2016-03-27 02:35:29,0,No Click,1
198,73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,1,Guam,2016-01-16 08:01:40,0,No Click,1
199,77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,2016-01-21 23:48:29,0,No Click,3
200,66.4,40,77567.85,214.42,Digitized heuristic solution,Port Destiny,0,Antigua and Barbuda,2016-06-05 00:29:13,0,No Click,1
201,69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,2016-02-13 15:37:36,0,No Click,1
202,35.65,40,31265.75,172.58,Seamless intangible secured line,North Johntown,1,Georgia,2016-05-10 07:22:37,1,Click,3
203,70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,1,Jordan,2016-03-27 03:59:26,0,No Click,1
204,69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,0,Saudi Arabia,2016-05-24 18:35:58,0,No Click,2
205,58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,0,South Africa,2016-02-11 02:40:02,1,Click,1
206,76.9,28,66107.84,212.67,Synchronized multimedia model,Murphymouth,0,Croatia,2016-04-22 08:31:24,0,No Click,2
207,84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,1,Fiji,2016-01-13 02:58:27,0,No Click,3
208,59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,Penatown,0,Australia,2016-06-16 02:01:24,1,Click,3
209,40.15,38,38745.29,134.88,Exclusive disintermediate task-force,Joechester,1,Sao Tome and Principe,2016-06-27 18:37:04,1,Click,1
